task_file,demo,phase,chunk_index,start,end,trajectory_length,grasp_step,release_step,gripper_state,cmd_dx,cmd_dy,cmd_dz,cmd_drx,cmd_dry,cmd_drz,translation_command_mag,rotation_command_mag,ee_dx_per_step,ee_dy_per_step,ee_dz_per_step,ee_path_per_step,horizontal_distance,vertical_ratio,movement_efficiency,chunk_length,primitive
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_0,PRE_GRASP,0,0,5,98,36,85.0,OPEN,0.24964285714285714,0.135,0.1730357142857143,0.0,0.05914285714285714,0.0,0.3460423344602449,0.05914285714285714,0.0018975748250267196,0.0013504927658417923,0.0015039162099076409,0.0029287030787056205,0.009316326252051244,0.5135088418728373,0.9466410853824426,5,1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_0,PRE_GRASP,1,5,10,98,36,85.0,OPEN,0.8453571428571427,0.5882142857142858,0.059464285714285726,-0.007928571428571429,0.030857142857142854,0.0004285714285714286,1.0343234227549432,0.038790372120561155,0.009564926210821396,0.0074817116766917905,-0.0004668346905573051,0.012162169833379604,0.04857387331174724,0.03838415356737359,0.9991996502798665,5,2
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_0,PRE_GRASP,2,10,15,98,36,85.0,OPEN,0.8485714285714285,0.6283928571428571,-0.14946428571428572,-0.02742857142857143,0.0,0.0,1.0696154144253351,0.02742857142857143,0.010469444268864495,0.00829989344560203,-0.0025462036217547834,0.013621934114084295,0.053441181799388705,0.1869193561745219,0.9984453355918789,5,2
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_0,PRE_GRASP,3,15,20,98,36,85.0,OPEN,0.6948214285714286,0.5244642857142857,-0.6241071428571427,0.0,-0.034928571428571434,-0.009642857142857144,1.0903719619012917,0.03629354719804599,0.009704955390325131,0.007170778328276402,-0.007928154636611173,0.014499718303677717,0.048266961116105796,0.5467798134844274,0.9957576718792409,5,2
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_0,PRE_GRASP,4,20,25,98,36,85.0,OPEN,0.21803571428571428,0.135,-0.9375,0.0345,-0.06300000000000001,-0.017785714285714287,0.9860541746433569,0.07737902995957478,0.004648942291292448,0.002851302165208111,-0.011193610828290568,0.012545679029898373,0.021814706402823923,0.892228198333777,0.9924918228550366,5,7
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_0,PRE_GRASP,5,25,30,98,36,85.0,OPEN,-0.1344642857142857,0.31339285714285714,-0.9375,0.0,-0.0722142857142857,0.0,1.0006343355990814,0.0722142857142857,-0.00034145859419196147,0.003908183999254813,-0.011265897997886354,0.011964638563219537,0.015692289135026235,0.941599329086337,0.9970558601102485,5,0
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_0,PRE_GRASP,6,30,35,98,36,85.0,OPEN,-0.02357142857142857,0.3208928571428572,-0.8769642857142858,-0.005785714285714286,-0.06985714285714285,-0.0008571428571428572,0.936616963074351,0.07030905266983037,-0.0007221836686458517,0.0041419011946171175,-0.011914904515154978,0.012644041379805656,0.016817559755079564,0.9423333728052607,0.9992804109628259,5,0
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_0,HOLDING,7,36,41,98,36,85.0,CLOSED,-0.11196428571428571,-0.03482142857142857,-0.20946428571428574,0.004714285714285714,0.036428571428571435,-0.06385714285714286,0.2655631533115205,0.07678157240783487,-0.0026888585962929583,0.00033713515632410873,-0.003582411248081341,0.0046378932558656435,0.010839646241082386,0.77242168359446,0.9685241315089301,5,1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_0,HOLDING,8,41,46,98,36,85.0,CLOSED,-0.002142857142857143,-0.06375,0.08410714285714285,0.006214285714285716,0.08292857142857143,-0.10457142857142858,0.11825068357381632,0.13376418848897337,-0.000927392563224683,-0.0010367123246360285,0.0004766591087228822,0.0016420604919351912,0.005563925823195972,0.29028064761458,0.8954500761715134,5,1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_0,HOLDING,9,46,51,98,36,85.0,CLOSED,0.15267857142857144,-0.055714285714285716,0.4617857142857143,0.0195,0.13285714285714287,-0.15407142857142858,0.49205913028057385,0.20454019352788716,0.0003472403351812946,-0.0006451581142191687,0.005124727779331345,0.005219312906643473,0.0029306786728528302,0.9818773881356678,0.9918612759355232,5,3
