task_file,demo,num_steps,num_close_events,num_open_events,first_close,first_open_after_close,grasp_fraction,release_fraction,holding_steps,ee_path_length
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_0,98,1,1,36,85.0,0.3673469387755102,0.8673469387755102,49.0,0.8601467252215089
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_1,84,1,1,35,73.0,0.4166666666666667,0.8690476190476191,38.0,0.8818316097648844
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_2,90,1,1,39,83.0,0.43333333333333335,0.9222222222222223,44.0,0.8309769711003466
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_3,97,1,1,40,84.0,0.41237113402061853,0.865979381443299,44.0,0.9194019040090571
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_4,105,1,1,50,92.0,0.47619047619047616,0.8761904761904762,42.0,0.8649928048376812
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_5,134,1,1,38,89.0,0.2835820895522388,0.664179104477612,51.0,1.0794409104448228
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_6,92,1,1,32,78.0,0.34782608695652173,0.8478260869565217,46.0,0.8646284302004724
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_7,92,1,1,33,78.0,0.358695652173913,0.8478260869565217,45.0,0.8578958555092737
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_8,79,1,1,31,72.0,0.3924050632911392,0.9113924050632911,41.0,0.7616897097141955
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_9,89,1,1,36,78.0,0.4044943820224719,0.8764044943820225,42.0,0.8385662930909199
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_10,93,1,1,43,84.0,0.46236559139784944,0.9032258064516129,41.0,0.9343321246966672
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_11,128,2,2,39,59.0,0.3046875,0.4609375,20.0,1.1698903950444695
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_12,86,1,1,39,77.0,0.45348837209302323,0.8953488372093024,38.0,0.8037350450575517
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_13,88,1,1,37,77.0,0.42045454545454547,0.875,40.0,0.8316091564963045
